;from_station_id;to_station_id;avg_duration;number_trips;from_station_lat;from_station_long;to_station_lat;to_station_long;biking_time;transit_time
11063;76;35;1265.15428301;2113;41.88105;-87.61697;41.891071;-87.61697;492;1174
11096;76;76;2269.42265588;2101;41.88105;-87.61697;41.88105;-87.61697;0;0
12970;90;90;2679.05097451;2001;41.8810317;-87.62408432;41.8810317;-87.62408432;0;0
12182;85;85;2941.02590394;1853;41.90096039;-87.62377664;41.90096039;-87.62377664;0;0
4165;35;35;1959.49553571;1568;41.891071;-87.6122;41.891071;-87.6122;0;0
14028;97;97;1964.36212412;1563;41.865212;-87.617759;41.865212;-87.617759;0;0
11108;76;97;1422.53085601;1507;41.88105;-87.61697;41.865212;-87.61697;405;1690
14014;97;76;1308.16200295;1358;41.865212;-87.617759;41.88105;-87.617759;468;1439
4207;35;90;1440.81058911;1341;41.891071;-87.6122;41.8810317;-87.6122;266;819
4198;35;76;1262.2074017;1297;41.891071;-87.6122;41.88105;-87.6122;266;819
14023;97;90;1461.64268775;1265;41.865212;-87.617759;41.8810317;-87.617759;467;1438
12975;90;97;1631.56449045;1256;41.8810317;-87.62408432;41.865212;-87.62408432;660;671
24452;177;35;1642.70297872;1175;41.926277;-87.630834;41.891071;-87.630834;1058;2465
12928;90;35;1647.71388889;1080;41.8810317;-87.62408432;41.891071;-87.62408432;252;585
4264;35;177;1637.75048924;1022;41.891071;-87.6122;41.926277;-87.6122;613;2476
2428;26;26;2844.15438247;1004;41.89102;-87.6173;41.89102;-87.6173;0;0
12961;90;76;1911.74353671;967;41.8810317;-87.62408432;41.88105;-87.62408432;0;0
24531;177;177;2313.71580064;943;41.926277;-87.630834;41.926277;-87.630834;0;0
4212;35;97;1668.18709677;930;41.891071;-87.6122;41.865212;-87.6122;799;2481
13982;97;35;1636.26049516;929;41.865212;-87.617759;41.891071;-87.617759;892;1891
11104;76;90;1516.13888889;900;41.88105;-87.61697;41.8810317;-87.61697;0;2
12144;85;35;1423.40723982;884;41.90096039;-87.62377664;41.891071;-87.62377664;720;573
3975;34;34;2527.62860438;867;41.92675599;-87.63442878;41.92675599;-87.63442878;0;0
14467;99;99;2827.48977136;831;41.89257;-87.614492;41.89257;-87.614492;0;0
4203;35;85;1341.7960199;804;41.891071;-87.6122;41.90096039;-87.6122;213;831
12243;85;177;1364.34090909;792;41.90096039;-87.62377664;41.926277;-87.62377664;517;1716
20876;150;150;3609.613723;787;41.838556;-87.608218;41.838556;-87.608218;0;0
11054;76;26;1678.6527027;740;41.88105;-87.61697;41.89102;-87.61697;492;1174
11101;76;85;1727.56652949;729;41.88105;-87.61697;41.90096039;-87.61697;521;2069
13180;91;52;573.572246066;699;41.88338;-87.64117;41.88605812;-87.64117;230;235
24483;177;85;1369.97560976;697;41.926277;-87.630834;41.90096039;-87.630834;672;2175
13171;91;43;528.137226277;685;41.88338;-87.64117;41.88389277;-87.64117;52;41
6970;52;52;2439.05631659;657;41.88605812;-87.62428934;41.88605812;-87.62428934;0;0
7000;52;91;604.109399076;649;41.88605812;-87.62428934;41.88338;-87.62428934;279;241
12177;85;76;1676.93312102;628;41.90096039;-87.62377664;41.88105;-87.62377664;1004;1168
12919;90;26;2054.00165837;603;41.8810317;-87.62408432;41.89102;-87.62408432;251;581
2479;26;90;1708.27740864;602;41.89102;-87.6173;41.8810317;-87.6173;328;1230
2199;25;25;3322.90939597;596;41.89766;-87.62351;41.89766;-87.62351;0;0
21747;157;157;2493.86882453;587;41.936669;-87.636794;41.936669;-87.636794;0;0
33651;249;249;2208.79789104;569;41.963982;-87.638181;41.963982;-87.638181;0;0
12966;90;85;1947.39497307;557;41.8810317;-87.62408432;41.90096039;-87.62408432;481;1117
6398;49;174;369.679279279;555;41.88131982;-87.62952092;41.882091;-87.62952092;42;73
5454;45;45;3247.96216216;555;41.8760656;-87.62443336;41.8760656;-87.62443336;0;0
12143;85;34;1772.23090909;550;41.90096039;-87.62377664;41.92675599;-87.62377664;520;1729
2437;26;35;1239.50458716;545;41.89102;-87.6173;41.891071;-87.6173;0;0
2470;26;76;1392.99255121;537;41.89102;-87.6173;41.88105;-87.6173;328;1230
12918;90;25;2063.79732314;523;41.8810317;-87.62408432;41.89766;-87.62408432;416;926
12941;90;52;1619.85549133;519;41.8810317;-87.62408432;41.88605812;-87.62408432;279;370
4010;34;85;1572.19844358;514;41.92675599;-87.63442878;41.90096039;-87.63442878;709;1002
9009;62;62;3196.44163424;514;41.85137517;-87.61883465;41.85137517;-87.61883465;0;0
6771;51;91;307.301775148;507;41.88457623;-87.63188991;41.88338;-87.63188991;91;171
8353;59;59;3663.24055666;503;41.867173;-87.62595501;41.867173;-87.62595501;0;0
10832;75;52;694.454183267;502;41.87811421;-87.63997112;41.88605812;-87.63997112;346;502
25939;190;67;343.397148676;491;41.92888;-87.66317;41.92560188;-87.66317;93;278
13203;91;81;362.195519348;491;41.88338;-87.64117;41.884337;-87.64117;97;77
36774;283;174;404.295687885;487;41.87817;-87.631985;41.882091;-87.631985;261;269
20850;150;97;1570.99157895;475;41.838556;-87.608218;41.865212;-87.608218;784;2537
13175;91;47;678.217299578;474;41.88338;-87.64117;41.88918;-87.64117;285;487
9503;67;190;356.912017167;466;41.92560188;-87.65370804;41.92888;-87.65370804;65;264
5490;45;90;1571.44008715;459;41.8760656;-87.62443336;41.8810317;-87.62443336;319;354
14061;97;150;1429.52863436;454;41.865212;-87.617759;41.838556;-87.617759;849;1543
26777;195;91;604.384955752;452;41.8853;-87.62077;41.88338;-87.62077;156;472
16383;115;153;369.798657718;447;41.936253;-87.653566;41.93584;-87.653566;47;60
6999;52;90;1620.35123043;447;41.88605812;-87.62428934;41.8810317;-87.62428934;320;381
4279;35;199;1060.13409091;440;41.891071;-87.6122;41.891738;-87.6122;61;147
4997;43;43;2202.46241458;439;41.88389277;-87.62464914;41.88389277;-87.62464914;0;0
5495;45;97;1480.88812785;438;41.8760656;-87.62443336;41.865212;-87.62443336;290;427
24969;181;91;489.826388889;432;41.890749;-87.63206;41.88338;-87.63206;316;461
4230;35;126;1978.61305361;429;41.891071;-87.6122;41.911791;-87.6122;592;2148
1985;24;24;2397.05437352;423;41.89186;-87.62062;41.89186;-87.62062;0;0
12934;90;45;1846.68483412;422;41.8810317;-87.62408432;41.8760656;-87.62408432;339;330
20842;150;76;1721.90261283;421;41.838556;-87.608218;41.88105;-87.608218;1114;3072
11544;80;75;434.215827338;417;41.881487;-87.654752;41.87811421;-87.654752;121;279
13806;94;94;3545.77017115;409;41.918273;-87.638116;41.918273;-87.638116;0;0
8374;59;90;1413.61029412;408;41.867173;-87.62595501;41.8810317;-87.62595501;677;348
4440;36;90;994.538083538;407;41.87770796;-87.63532114;41.8810317;-87.63532114;147;288
4171;35;45;1840.5470297;404;41.891071;-87.6122;41.8760656;-87.6122;448;1494
21181;153;115;399.9697733;397;41.93584;-87.6637;41.936253;-87.6637;35;43
11164;76;177;1766.49234694;392;41.88105;-87.61697;41.926277;-87.61697;1097;3369
3976;34;35;1991.71938776;392;41.92675599;-87.63442878;41.891071;-87.63442878;1002;1301
13275;91;181;567.240409207;391;41.88338;-87.64117;41.890749;-87.64117;523;711
2475;26;85;1664.37532134;389;41.89102;-87.6173;41.90096039;-87.6173;355;346
7231;53;91;523.463917526;388;41.893832;-87.634195;41.88338;-87.634195;505;385
2209;25;35;1626.40932642;386;41.89766;-87.62351;41.891071;-87.62351;423;482
14451;99;76;1412.73506494;385;41.89257;-87.614492;41.88105;-87.614492;326;1263
10821;75;37;408.942708333;384;41.87811421;-87.63997112;41.87935636;-87.63997112;130;150
316;13;220;296.7734375;384;41.93250008;-87.65268082;41.93262;-87.65268082;2;10
13988;97;45;1524.57853403;382;41.865212;-87.617759;41.8760656;-87.617759;343;1011
6947;52;25;1390.22955145;379;41.88605812;-87.62428934;41.89766;-87.62428934;379;673
35594;268;35;1432.20844327;379;41.911722;-87.626804;41.891071;-87.626804;834;1117
11292;77;49;482.946380697;373;41.8815824;-87.64127743;41.88131982;-87.64127743;5;23
17859;126;35;1638.95652174;368;41.911791;-87.631841;41.891071;-87.631841;670;869
5036;43;91;496.289617486;366;41.88389277;-87.62464914;41.88338;-87.62464914;10;40
11110;76;99;1576.58126722;363;41.88105;-87.61697;41.89257;-87.61697;467;1376
23851;174;43;530.602209945;362;41.882091;-87.639833;41.88389277;-87.639833;61;114
5448;45;35;1704.53739612;361;41.8760656;-87.62443336;41.891071;-87.62443336;738;918
14001;97;59;1215.17174515;361;41.865212;-87.617759;41.867173;-87.617759;134;275
12135;85;26;1552.54748603;358;41.90096039;-87.62377664;41.89102;-87.62377664;720;572
2251;25;90;1912.03361345;357;41.89766;-87.62351;41.8810317;-87.62351;677;1073
7056;52;174;526.726495726;351;41.88605812;-87.62428934;41.882091;-87.62428934;244;362
